Czechia Prague
Luxembourg Luxembourg
Denmark Copenhagen
Ukraine Kyiv
Bosnia_and_Herzegovina Sarajevo
Estonia Tallin
Liechtenstein Vaduz
North_Macedonia Skpje
Serbia Belgrade
Netherlands Amsterdam
Austria Vienna
Vatican_City Vatican_City
Latvia Riga
Greece Athens
Italy Rome
Portugal Lisbon
Hungary Budapest
Belarus Minsk
Slovenia Ljubljana
United_Kingdom London
Slovakia Bratislava
Cyprus Nicosia
Lithuania Vilnius
Azerbaijan Baku
Turkey Ankara
Belgium Brussels
Finland Helsinki
Kosovo Pristina
Russia Moscow
Malta Valletta
Poland Warsaw
Ireland Dublin
Iceland Reikiavik
Croatia Zagreb
Kazakhstan Nur-Sultan
Sweden Stockholm
France Paris
Bulgaria Sofia
Spain Madrid
San_Marino San_Marino
Monaco Monte_Carlo
Norway Oslo
Romania Bucharest
Switzerland Bern
Moldova Chisinau
Germany Berlin
Georgia Atlanta
Montenegro Podgorica
Albania Tirana
Armenia Ereván
Andorra Andorra_la_Vella
